pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
154;vt4_Viikinmäki;20190203;2;Helsinki;*;Ajoneuvoluokka;HA - PA;256;194;150;146;147;213;357;452;485;764;822;854;970;1032;1052;1128;1013;1136;1054;821;654;371;240;138;14449
154;vt4_Viikinmäki;20190204;1;Lahti;*;Ajoneuvoluokka;HA - PA;125;143;67;39;74;164;451;772;863;804;818;933;1029;1109;1641;2763;2654;1881;1262;1019;937;642;390;164;20744
154;vt4_Viikinmäki;20190204;2;Helsinki;*;Ajoneuvoluokka;HA - PA;83;67;51;66;137;707;2446;2773;2667;1622;1039;1037;1020;925;961;1094;1227;1045;864;682;597;401;220;127;21858
154;vt4_Viikinmäki;20190205;1;Lahti;*;Ajoneuvoluokka;HA - PA;128;90;76;45;75;152;426;845;820;754;815;914;1040;1167;1751;2709;2649;1964;1303;1118;896;673;392;225;21027
154;vt4_Viikinmäki;20190205;2;Helsinki;*;Ajoneuvoluokka;HA - PA;65;42;43;46;132;698;2400;2628;3085;1740;1034;1079;1040;1001;957;1117;1204;1074;871;663;576;346;239;115;22195
154;vt4_Viikinmäki;20190206;1;Lahti;*;Ajoneuvoluokka;HA - PA;127;85;76;67;88;137;396;813;828;785;808;942;991;1213;1732;2664;2711;2082;1444;1107;952;760;444;488;21740
154;vt4_Viikinmäki;20190206;2;Helsinki;*;Ajoneuvoluokka;HA - PA;60;70;49;71;166;633;2303;2749;2882;1783;1036;1044;1056;1013;1076;1180;1456;1262;1066;810;702;481;307;145;23400
154;vt4_Viikinmäki;20190207;1;Lahti;*;Ajoneuvoluokka;HA - PA;142;89;86;60;93;149;374;815;860;751;795;852;1000;1260;1767;2759;2691;2144;1323;1141;1049;719;461;243;21623
154;vt4_Viikinmäki;20190207;2;Helsinki;*;Ajoneuvoluokka;HA - PA;94;57;58;57;162;661;2408;2643;2853;1699;1027;1040;1071;977;1048;1122;1357;1219;991;787;688;483;266;124;22892
154;vt4_Viikinmäki;20190208;1;Lahti;*;Ajoneuvoluokka;HA - PA;148;102;96;98;95;155;419;756;854;805;978;1108;1214;1546;2125;2782;2621;1776;1300;1014;893;904;573;330;22692
154;vt4_Viikinmäki;20190208;2;Helsinki;*;Ajoneuvoluokka;HA - PA;99;64;62;76;165;709;2372;2658;2425;1566;1163;1232;1182;1176;1188;1409;1690;1438;1077;864;713;508;357;264;24457
154;vt4_Viikinmäki;20190209;1;Lahti;*;Ajoneuvoluokka;HA - PA;269;250;192;176;173;126;158;257;368;665;895;984;1060;1273;1310;1415;1430;1338;1067;740;702;673;488;391;16400
154;vt4_Viikinmäki;20190209;2;Helsinki;*;Ajoneuvoluokka;HA - PA;210;204;120;113;156;190;434;478;723;1228;1100;1291;1341;1412;1251;1161;1140;1114;982;768;644;470;349;265;17144
154;vt4_Viikinmäki;20190210;1;Lahti;*;Ajoneuvoluokka;HA - PA;341;266;257;193;182;143;139;176;223;427;665;865;981;1223;1206;1288;1435;1292;1064;934;715;559;336;145;15055
154;vt4_Viikinmäki;20190210;2;Helsinki;*;Ajoneuvoluokka;HA - PA;208;205;191;120;126;151;284;290;367;847;861;997;1136;1278;1247;1259;1257;1248;1177;919;659;407;236;124;15594
154;vt4_Viikinmäki;20190211;1;Lahti;*;Ajoneuvoluokka;HA - PA;135;97;65;35;73;160;454;862;919;787;879;942;1074;1219;1797;2970;2760;2016;1443;1130;856;666;393;161;21893
154;vt4_Viikinmäki;20190211;2;Helsinki;*;Ajoneuvoluokka;HA - PA;82;59;48;54;145;710;2582;2855;2974;1719;1199;1195;1112;1044;962;1160;1339;1059;865;680;628;449;233;95;23248
154;vt4_Viikinmäki;20190212;1;Lahti;*;Ajoneuvoluokka;HA - PA;131;60;63;51;58;156;401;801;979;773;902;986;1137;1235;1879;2830;2735;2234;1546;1225;1017;750;406;189;22544
154;vt4_Viikinmäki;20190212;2;Helsinki;*;Ajoneuvoluokka;HA - PA;60;44;43;51;138;675;2496;2874;3127;1789;1244;1243;1140;1112;1076;1160;1383;1255;957;776;695;445;210;92;24085
154;vt4_Viikinmäki;20190213;1;Lahti;*;Ajoneuvoluokka;HA - PA;141;77;60;51;80;128;447;844;949;800;867;953;1101;1248;1901;2894;2820;2129;1534;1196;1035;978;471;190;22894
154;vt4_Viikinmäki;20190213;2;Helsinki;*;Ajoneuvoluokka;HA - PA;62;78;44;38;147;704;2480;2959;2928;1818;1202;1222;1146;1021;1084;1156;1484;1301;1066;771;709;444;251;138;24253
154;vt4_Viikinmäki;20190214;1;Lahti;*;Ajoneuvoluokka;HA - PA;142;95;85;62;74;157;416;871;931;804;912;1029;1127;1363;1965;2963;2879;2124;1537;1163;1091;849;552;276;23467
154;vt4_Viikinmäki;20190214;2;Helsinki;*;Ajoneuvoluokka;HA - PA;91;58;50;71;139;727;2600;2931;2867;1739;1241;1251;1246;1181;1075;1260;1448;1313;1110;819;748;470;275;142;24852
154;vt4_Viikinmäki;20190215;1;Lahti;*;Ajoneuvoluokka;HA - PA;148;103;115;95;119;142;431;802;994;829;1023;1191;1238;1624;2388;2966;2652;1808;1499;1075;796;772;652;515;23977
